playerID,nameFirst,nameLast
badenbu01,burke,badenhop
baderar01,art,bader
baderha01,harrison,bader
baderlo01,king,bader
badgrre01,red,badgro
baeched01,ed,baecht
baekch01,cha-seung,baek
baergca01,carlos,baerga
baezbe01,benito,baez
baezda01,danys,baez
baezja01,javier,baez
baezjo01,jose,baez
baezke01,kevin,baez
baezpe01,pedro,baez
baezsa01,sandy,baez
bagbyji02,jim,bagby
bagwebi01,bill,bagwell
bagweje01,jeff,bagwell
bahnsst01,stan,bahnsen
bahred01,ed,bahr
bahrefr01,frank,bahret
baichgr01,grover,baichley
bailean01,andrew,bailey
bailebi02,bill,bailey
bailebo01,bob,bailey
baileco01,cory,bailey
baileed01,ed,bailey
bailefr01,fred,bailey
bailege01,gene,bailey
baileha01,harvey,bailey
baileho01,howard,bailey
baileho02,homer,bailey
baileje01,jeff,bailey
baileji01,jim,bailey
baileki01,king,bailey
bailema01,mark,bailey
bailero01,roger,bailey
bailesc01,scott,bailes
bailest01,steve,bailey
bailesw01,sweetbread,bailey
bailobo01,bob,bailor
baineha01,harold,baines
bainlo01,loren,bain
bairdal01,al,baird
bairdbo01,bob,baird
bairddo01,doug,baird
bairdo01,doug,bair
baislje01,jeff,baisley
bajenje01,jeff,bajenaru
bakelje01,jersey,bakley
bakenda01,dave,bakenhaster
bakeral01,al,baker
bakerbi01,bill,baker
bakerbo01,bock,baker
bakerch01,charlie,baker
bakerch02,chuck,baker
bakerda01,dave,baker
bakerde01,del,baker
bakerdo01,doug,baker
bakerdu01,dusty,baker
bakerer01,ernie,baker
bakerfl01,floyd,baker
bakerfr01,homerun,baker
bakerfr03,frank,baker
bakerge01,george,baker
bakerge02,gene,baker
bakerho01,howard,baker
bakerja01,jack,baker
bakerje02,jesse,baker
bakerje03,jeff,baker
bakerjo01,john,baker
bakerki01,kirtley,baker
bakerne01,neal,baker
bakerno01,norm,baker
bakerph01,phil,baker
bakersc02,scott,baker
bakerst01,steve,baker
bakerto02,tom,baker
bakertr01,tracy,baker
bakopa01,paul,bako
balasmi01,mike,balas
balazjo01,john,balaz
balbost01,steve,balboni
balcebo01,bobby,balcena
baldero01,rocco,baldelli
baldsja01,jack,baldschun
baldwbi01,billy,baldwin
baldwda01,dave,baldwin
baldwfr01,frank,baldwin
baldwha01,harry,baldwin
baldwhe01,henry,baldwin
baldwja01,james,baldwin
baldwje01,jeff,baldwin
baldwki01,kid,baldwin
baldwla01,lady,baldwin
baldwma01,mark,baldwin
baldwof01,orson,baldwin
baldwre01,reggie,baldwin
baldwri01,rick,baldwin
balejo01,john,bale
balenmi01,mike,balenti
balenwl01,wladimir,balentien
balesco01,collin,balester
balesle01,lee,bales
balfogr01,grant,balfour
ballaje01,jeff,ballard
ballar01,art,ball
balleja01,jay,baller
ballepe01,pelham,ballenger
ballima01,mark,ballinger
ballje01,jeff,ball
ballji01,jim,ball
ballne01,neal,ball
ballowi01,win,ballou
balsato01,tony,balsamo
bambege01,george,bamberger
bambeha01,hal,bamberger
banckst01,studs,bancker
bancrda01,dave,bancroft
bancrfr99,frank,bancroft
bandaan01,anthony,banda
bandoch01,chris,bando
bandosa01,sal,bando
bandyje01,jett,bandy
baneed01,eddie,bane
baneydi01,dick,baney
banisje01,jeff,banister
bankhda01,dan,bankhead
bankhsc01,scott,bankhead
banksbi01,bill,yerrick
banksbr01,brian,banks
bankser01,ernie,banks
banksev01,bill,bankston
banksge01,george,banks
banksjo01,josh,banks
bankswe01,wes,bankston
bankswi01,willie,banks
bannial01,alan,bannister
bannibr01,brian,bannister
bannifl01,floyd,bannister
banniji01,jim,banning
bannoji01,jimmy,bannon
bannoto01,tom,bannon
bantaja01,jack,banta
bantzbr01,brandon,bantz
banuema01,manny,banuelos
baptitr01,travis,baptist
barajro01,rod,barajas
barbajo01,johnny,barbato
barbare01,red,barbary
barbawa01,walter,barbare
barbebr01,bret,barberie
barbebr02,brian,barber
barbech01,charlie,barber
barbeda01,dave,barbee
barbefr01,frank,barberich
barbeja01,jap,barbeau
barbest02,steve,barber
barbetu01,turner,barber
barbiji01,jim,barbieri
barcelo01,lorenzo,barcelo
barclcu01,curt,barclay
barclge01,george,barclay
bardda01,daniel,bard
bardebr01,brian,barden
bardjo01,josh,bard
bardlu01,luke,bard
barera01,ray,bare
barfije01,jesse,barfield
barfijo01,john,barfield
barfijo02,josh,barfield
barfocl01,clyde,barfoot
bargagr01,greg,bargar
bargecy01,cy,barger
barkbr01,brian,bark
barkeal01,al,barker
barkean01,andy,barkett
barkegl01,glen,barker
barkeke01,kevin,barker
barkele01,len,barker
barkera01,ray,barker
barkeri01,richie,barker
barkese01,sean,barker
barklbr01,brian,barkley
barklje01,jeff,barkley
barklre01,red,barkley
barklsa01,sam,barkley
barlial99,al,barlick
barlomi01,mike,barlow
barlosc01,scott,barlow
barloto01,tom,barlow
barmebr01,bruce,barmes
barmecl01,clint,barmes
barnaba01,babe,barna
barnach01,charlie,barnabe
barneau01,austin,barnes
barnebi01,bill,barnes
barnebo01,bob,barnes
barnebr01,brian,barnes
barnebr02,brandon,barnes
barneda01,darwin,barney
barneda02,danny,barnes
barneed01,ed,barney
barneep01,eppie,barnes
barnefr02,frank,barnes
barneho01,honey,barnes
barneja01,jacob,barnes
barneje01,jesse,barnes
barnejo01,john,barnes
barneju01,junie,barnes
barnela01,larry,barnes
barnelu01,lute,barnes
barnema01,matt,barnes
barnere01,red,barnes
barnere02,rex,barney
barneri01,rich,barnes
barnero01,ross,barnes
barnesa01,sam,barnes
barnesc01,scott,barnes
barnesk01,skeeter,barnes
barneto01,tony,barnette
barnevi01,virgil,barnes
barnhcl01,clyde,barnhart
barnhed01,edgar,barnhart
barnhle01,les,barnhart
barnhtu01,tucker,barnhart
barnhvi01,vic,barnhart
barnibi01,billy,barnie
barnige01,george,barnicle
barnoed01,ed,barnowski
barnwch01,chris,barnwell
barojsa01,salome,barojas
baronda01,daniel,barone
barondi01,dick,barone
baronst01,steven,baron
barracu01,cuno,barragan
barrage01,german,barranca
barraky01,kyle,barraclough
barrbo02,bob,barr
barre01,john,barrett
barreaa01,aaron,barrett
barrebi02,bill,barrett
barrebo01,bob,barrett
barredi01,dick,barrett
barrefr01,frank,barrett
barrefr02,franklin,barreto
barreja01,jake,barrett
barreji01,jimmy,barrett
barrejo01,johnny,barrett
barrema02,marty,barrett
barremi01,michael,barrett
barrere01,red,barrett
barreti01,tim,barrett
barreto01,tom,barrett
barrifr01,francisco,barrios
barrija01,jaime,barria
barrijo01,jose,barrios
barrima01,manuel,barrios
barriyh01,yhonathan,barrios
barrji01,jim,barr
barrocu01,cuke,barrows
barroed99,ed,barrow
barrofr01,frank,barrows
barrofr02,frank,barron
barrore01,red,barron
barroto01,tony,barron
barrsc01,scotty,barr
barrst01,steve,barr
barryed01,ed,barry
barryha01,hardin,barry
barryja01,jack,barry
barryje01,jeff,barry
barryke01,kevin,barry
barryri01,rich,barry
barrysh01,shad,barry
barryto01,tom,barry
bartedi01,dick,bartell
barteki01,kimera,bartee
barthbo01,bob,barthelson
barthji01,jimmy,barthmaier
barthjo01,john,barthold
barthle01,les,bartholomew
bartito01,tony,bartirome
bartlbi01,bill,bartley
bartlbo01,boyd,bartley
bartlir01,irv,bartling
bartlja01,jason,bartlett
bartobo01,bob,barton
bartobr01,brian,barton
bartocl01,cliff,bartosh
bartoda01,dave,bartosch
bartoda02,daric,barton
bartoha01,harry,barton
bartosh01,shawn,barton
bartovi01,vince,barton
bartsch01,charlie,bartson
barziph01,philip,barzilla
basakch01,chris,basak
basgamo01,monty,basgall
bashaal01,al,bashang
bashlty01,tyler,bashlor
bashowa01,walt,bashore
basined01,eddie,basinski
baskeji01,jim,baskette
bassan01,anthony,bass
bassbr01,brian,bass
bassdi01,dick,bass
bassdo01,doc,bass
bassech01,charley,bassett
bassich01,chris,bassitt
bassjo01,john,bass
basske01,kevin,bass
